id,job-query,title,company,location,description
2505,IT manager,Sr. IT Program Manager,Confidential,"HOUSTON, Texas 77064","SR. IT PROGRAM MANAGER Ingrasys Technology USA Inc.  Sr. IT Program Manager Job Site: Houston, TX. Send Resume To: Ingrasys Technology USA Inc. 8303 Fallbrook Dr., Houston, TX 77064"
2506,IT manager,"IT Assurance Manager - PCI, HITRUST, CISSP",CyberCoders,"Atlanta, Georgia 30326","If you are an IT Assurance Manager with 5+ years experience in Public Accounting or Corporate/Public Blend, please read on!

Based in Atlanta, GA our client is is one of the largest public accounting, consulting and technology firms in the United States. They are a leading Public Accounting Company in the LA Area that is currently expanding it's team. 



This position is working on their growing Atlanta Technology team that is focused on delivering outstanding client service while integrating in a dynamic team environment.



As part of the growing Technology group, you will be part of a collaborative team with deep specialization. They use proactive approaches and innovative assurance technology to provide high quality risk and compliance cyber security services to their clients.



Please read on for more details!
This is a fast-paced environment with a high learning curve, so we provide many resources and on-the-job training opportunities  if you are willing to learn and build your areas of expertise, you will succeed. You will be exposed to a variety of technologies in different environments and different industry standards and solutions including: Consulting and Assurance for PCI, HiTRUST, SOC and SOC for Cybersecurity.
Joining this Assurance practice as a Technical Manager is an opportunity to interact with client leadership, understand the IT environments that we are helping to transform by the way we do business today, and help provide assurance that controls are operating the way they should. You will be responsible for conducting the cybersecurity portions of our service offerings including PCI, HITRUST, SOC for Cybersecurity and SOC.

This position will perform and conduct hands-on cybersecurity focused work, as well as oversee the work of some junior level personnel. This position will work directly with other staff, senior managers, and/or executives to communicate business and technical aspects of the work being performed. The IT Assurance Manager will set performance expectations for junior level personnel and provide constructive performance feedback on a regular basis. This person may also assist the engagement economics of the projects, including budget status tracking, billing, and collection analysis.



As our Audit practice continues to focus on transformation, we are looking for innovative leaders who can help build tools and methodology to provide more efficient and effective ways to assess large networks with multiple operating systems.



- Planning, supervising staff, and executing IT Assurance engagements, Compliance Standard Assessments, and Consulting engagements as well as support business development efforts.

- Managing projects to ensure high quality delivery within the project budget and time-lines.

- Being hands-on in the delivery and execution of project tasks for complex technology environments.

- Having the ability to present and communicate status and issues to client senior management personnel. Setting performance expectations for senior staff and staff level.

- Participating in innovation sessions and tactical initiatives related to new product offerings and services.

- Developing and maintaining relationships with clients and identify new opportunities for business.

- Defining performance expectations for senior staff and staff level IT auditors and providing performance feedback.
More Than 5 Years of experience and knowledge of:

- BS in Cyber security, Information Systems, Computer Science, or similar discipline

- Minimum 4 years of experience in the areas of Information Security (experience in PCI and/or HITRUST a plus).

- Certified Information Systems Security Professionals (CISSP) or Certified Information Security Manager (CISM) certification

- Experience within consulting or professional services, or at leading industry public companies is preferred.

- Prior experience supervising junior level resources in the areas of Information Security.

- Knowledge of networking technology.

- System and/or network administration experience on UNIX, Linux, and Microsoft Windows.

- Knowledge of security areas such as Auditing, Policy, Database Security, Firewall Design and Implementation, Risk Analysis, Identity Management, Access Management, or Web Services is very desirable.
We value our people and offer employees a comprehensive benefits package:
- Promotion Plan!

- Vacation/PTO

- Medical

- Dental

- Vision

- Relocation

- Bonus

- 401k
So, if you are a IT Assurance Manager with experience, please apply today!"
2507,IT manager,IT Asset Manager,MKS Instruments,"Andover, Massachusetts 01810",
2508,IT manager,IT Network Manager,Netrocon,"Raleigh, North Carolina","Desired Skills:
 
Education and Experience:"
2509,IT manager,Senior IT Manager,Henry Elliott and Company Inc.,"Baltimore, Maryland 21201","Our client in Maryland is looking for a Direct Hire Senior IT Manager to lead a group of developers for healthcare system applications and EDI. Must be local to the DC, Maryland area and eventually will work on site.
Will manage the design, specification, implementation and maintenance of internally developed applications and solutions and custom software workflows and data interchanges for all healthcare and business trading partners.  Candidate will coordinate the same for third party/offshore development activities. Full managerial administrative responsibilities of Application Developers and eCommerce Software Engineers.
 Required:
 Desired:
Please contact: Lydia Borenstein – (781)416-9900, ext. 230 – 
. Please reference Job Code HEClmb3949"
2510,IT manager,IT Program Manager,Apex Systems,"Franklin, Wisconsin 53132","Our great Fortune 500 client in Franklin, WI has an immediate opening for a Infrastructure Program Manager. If you are interested please apply with resume to 
.
Description:
Responsible for managing one or more highly complex or enterprise wide IT program(s) consisting of multiple projects. Responsible for the alignment of subordinated projects with business objectives. Accountable for the coordinated planning, management, execution and closure of a program.
Accountable for day-to-day program mgmt tasks as well, to include project plan updates, status reporting, meeting facilitation/follow-up, risk/issue management. Prefer experience with infrastructure programs.
We would look at a junior person with 5 years of experience. There will be a potential for contract to hire, but not guaranteed.
Accountable for day-to-day program mgmt tasks as well, to include project plan updates, status reporting, meeting facilitation/follow-up, risk/issue management. Prefer experience with infrastructure programs.
EEO Employer
Apex Systems is an equal opportunity employer. We do not discriminate or allow discrimination on the basis of race, color, religion, creed, sex (including pregnancy, childbirth, breastfeeding, or related medical conditions), age, sexual orientation, gender identity, national origin, ancestry, citizenship, genetic information, registered domestic partner status, marital status, disability, status as a crime victim, protected veteran status, political affiliation, union membership, or any other characteristic protected by law. Apex will consider qualified applicants with criminal histories in a manner consistent with the requirements of applicable law. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at 
 or 844-463-6178."
2511,IT manager,SAN Storage Technical Consultant,Radiant Systems Inc,"Toronto, Ontario","The Storage SAN Technical Leader is responsible for the operational technical delivery for the assigned customer account(s).Responsibilities include the day to day 24x7 IT operation support using an ITIL framework, architecture design and implementation, capacity planning and forecast, and performance management. This will also include advanced troubleshooting, diagnosis and recommendation for continuous improvement initiatives.
 
 
Required Skills:"
2512,IT manager,IT Support Manager,"MaxLinear, Inc.","Irvine, California","MaxLinear is seeking an intelligent and passionate IT Support Manager to join our team in either Carlsbad or Irvine, CA to support our success and continued growth. This is a highly visible, newly created position reporting to the IT Director. This position will be focused on providing the best-in-class IT end-user support experience, providing technology guidance and demonstrating leadership. You will manage and support all aspects of the IT Helpdesk and desktop support technicians for a fast-paced engineering environment. You will be responsible for inventory management, networking, telecommunications and other IT related technologies. Ideal candidates will have a combination of excellent customer focus, leadership and refined communications, skilled at interacting within IT and across the organization.
 
 
 
MaxLinear is a global, New York Stock Exchange-traded company (NYSE: MXL) where the entrepreneurial spirit is alive and well. We are a fabless system-on-chip product company, designing highly integrated, radio-frequency, and mixed-signal Communications ICs for broadband and infrastructure applications.
 
We hire the best people in the world and engage them in some of the most exciting opportunities in our broadband and infrastructure markets. Our growth has come from innovative, bold approaches to solving some of the world’s most challenging communication technology problems.
 
MaxLinear began by developing the World’s first high-performance TV tuner chip using standard CMOS process technology. Others said we couldn’t achieve the extremely high performance requirements using CMOS, but we proved them wrong and achieved enduring global market leadership with our designs. Since then, we’ve developed a full line of products for satellite communications, cable modems, and terrestrial TV; diversified into high speed products addressing Datacom applications such as 400 Gbps fiber-optic interconnect chips for high-speed networks; and MoCA technology for home networking.
 
Our headquarters is in Carlsbad, near San Diego, California. We also have major design centers in Irvine and San Jose, CA; in Vancouver, Canada; in Valencia, Spain; and in Bangalore, India.
 
We have approximately 800 employees, a substantial majority of whom have engineering degrees, and include masters and Ph.D. graduates from many of the premiere universities around the world. Our engineers thrive on innovation, outstanding execution, outside-the-box thinking, nimbleness, and collaboration. Together, we form a high-energy business team that is focused on building great products.
*MON"
2513,IT manager,Cyber Security Project Manager,"Peterson Technology Partners, Inc.","Charlotte, North Carolina","has been Chicago's premier Information Technology (IT) staffing, consulting, and recruiting firm for over 22+ years. Named after Chicago's historic Peterson Avenue, PTP has built its reputation by developing lasting relationships, leading digital transformation, and inspiring technical innovation throughout Chicagoland.
Based in Park Ridge, IL, PTP's 250+ employees have a narrow focus on a single market (Chicago) and expertise in 4 innovative technical areas;
Artificial Intelligence/Machine Learning/Data Science
Robotics/Robotic Process Automation (RPA)
Cyber/Data/Information Security
DevOps/DevSecOps
 exists to ensure that all of our partners (clients and candidates alike) make the best hiring and career decisions.
 | 
 | 
 | 
 | 
 | 
 | 
 | 
| 
| 
| 
 | 
 | 
 | 
 |"
2514,IT manager,Operations Manager- IT BSD Digital Factory Platform - 103453,Con Edison,"NEW YORK, New York 10003","Operations Manager- IT BSD Digital Factory Platform
Information Technology
Department: Architecture/Digital Platforms
Posting # 103453
Core Responsibilities 
• The Operations Manager is a pivotal member of the Digital Factory leadership team. Responsible for the creation, implementation and coordination of the Digital Factory delivery operating model, talent management, maintaining focus on business value and managing budget. An important aspect is ensuring business KPI's are established thus providing the foundation for continuous improvement in technology, continuously delivering with quality. Spearhead and manage the deployment of the digital factory operating model across teams supporting the achievement of Digital Factory objectives.
• We're in search of a Manager who is responsible for the creation, implementation and coordination of the Digital Factory delivery operating model, talent management, maintaining focus on business value and managing budget.
• Collaborate with Digital Factory leaders to drive overall development of technology, product and talent teams, fortifying the overall processes and functions across the organization.
• Designs the overall technological architecture of the product with the help of the team.
• Test new tools, processes and approaches to learn and further improve current operations.
• Responsible for identifying and leading projects designed to significantly improve Digital Factory's products.
• Work with the business, Product Manager and product owners to determine product and team success metrics (KPIs)
• Facilitate cross-team synchronization in case of product interdependencies to ensure transparency across teams, joint resolution of impediments and alignment on overarching priorities.
• Responsible for legal and financial execution of vendor contracts procuring required resources as defined by various teams / groups in need.
• Work with ConEd stakeholders to ensure onboarding of new resources (internal and contractors) is happening smoothly.
• Promote a culture of team work, excellence in performance, inclusivity, and continuous improvement that values learning and an everlasting commitment to quality.
• Performs other related tasks and assignments as required.
Required Education/Experience 
• Bachelor's Degree preferably in Computer Science or Engineering And 8+ years professional experience Or
• Master's Degree preferably in Computer Science or Engineering And 6+ years professional experience
Preferred Education/Experience 
• Bachelor's Degree Majors preferred in IT, computer science, business administration, engineering or decision sciences including mathematics, analytics, quantitative methods.
Required Work Experience 
• Demonstrated experience to effectively resolve business operating challenges through a logical, systematic approach Required
• Three (3) to five (5) years of managerial or supervisory experience Required
• Has effectively led various work groups or teams to accomplish specific projects against specified criteria within an efficient timeframe Required
• Passion for and track record for managing multiple functional topics, solving problems and removing impediments. Clear ability to interact effectively at all levels throughout the organization Required
• Is a role model for integrity, discipline and constant improvement Required
• Strong communication skills with ability to get things done, ''does not drop the ball'' while also collaborating with the team Required
• Experience with building high performing delivery teams Preferred
• Excellent interpersonal and communication skills with proven ability to explain technical concepts at all levels and align the organization on complex technical decisions Preferred
• Active coach and mentor who's goals are to grow and maximize team's potential Preferred
• Continuous learning mindset Preferred
• Ability to work through ambiguity - demonstrate confidence when making difficult decisions, leading through adversity with a focus on the right business outcome. Preferred
• Synthesizes abstract ideas into concrete implications Preferred
• Is open to learning new ideas outside scope Preferred
• Brave and rebellious, willing to challenge status quo Pref
Skills & Ability 
• Ability to lead/manage others
• Strong written and verbal communication skills
• Effectively coaches and delivers constructive feedback
• Ability to drive multiple projects to successful completion
• Excellent collaboration and team building skills
• Ability to simultaneously handle multiple priorities
• Demonstrates excellent judgment and decision making skills
Licenses & Certifications 
• Driver's License Required
• Project Management Professional (PMP) Training and/or certification in Project Management is a plus. Preferred
Other Physical Demands 
• Must be able to respond to Company emergencies by performing a System Emergency Assignment to restore service to our customers.
Technical Difficulty Statement 
• For technical issues, please contact us at careerconnect@coned.com
Interested in applying to this position, click on the below link and apply on-line:
http://careers.coned.com/jobs/5267054-systems-manager
Mission Statement 
• Consolidated Edison Company of New York, Inc. (Con Edison), Orange & Rockland Utilities (O&R), and Consolidated Edison Transmission (CET) employees are required to follow health, safety, and environmental policies, EEO, Standards of Business Conduct, and all other applicable company policy and procedures. We all share a responsibility to advance the company’s mission by excelling at our three corporate priorities – safety of our people and the public, operational excellence in all that we do, and ensuring the best possible customer experience.
Equal Opportunity Employer 
• Consolidated Edison Company of New York, Inc. (Con Edison), Orange & Rockland Utilities (O&R), and Consolidated Edison Transmission (CET) are equal opportunity employers. All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of the individual’s actual or perceived disability, protected veteran status, race, color, creed, religion, sex, age, national origin, gender, gender identity, gender expression, genetic information, marital status, sexual orientation, citizenship, domestic violence victim status, or any other actual or perceived status protected by law."
