id,job-query,title,company,location,description
4008,database administrator,Database/Systems Administrator,CyberCoders,"San Diego, California","If you are a Database/Systems Administrator with experience, please read on!

We are located in the Greater San Diego area and we offer an array of financial services from life insurance to investment products. We have been in business for close to 40 years and have established ourselves as a leader in the market and industry. We are focused in providing top notch services to our customers to help support independent advisor, planners and professionals to be successful.



We are looking for a Database/Systems Administrator that is very well rounded and has experience working in the account or financial space. This person will ideally have experience working heavily with things such as SQL and QuickBooks and have experience working with internal accounting teams. The candidate should be able to manage databases and work to provide data analysis to the business.
-Work with an established but small company 
-Work directly with upper management

-Room for upward mobility
- Database management by maintaining business information and adding in new data 
- Analyze data and create reports to show data analysis and provide the necessary info to the team

- Continue to verify and correct current data

- Create and manage processes and procedures to upload and manage data 

- Work with multiple teams within the business to make sure they have accurate and efficient information

- Manage multiple projects and meet crucial deadlines
At least 1 year of experience with:

- SQL

- QuickBooks

- Microsoft Access

- Microsoft Outlook

- Microsoft Excel

- Data Analysis

- Database Administration

- Accounting
So, if you are a Database/Systems Administrator with experience, please apply today!"
4009,database administrator,Database Administrator,"Webject Systems, Inc.","Bridgewater, Massachusetts 02324","Webject Systems, Inc., a leader in Information Technology, has an opening for Database Administrator in Bridgewater, MA. Please see our website (www.webject.com) for job duties and requirements. Send resumes to Madhu Rao, President, 25 Central Square, Bridgewater, MA 02324 or email to hr@
webject.com"
4010,database administrator,Database Administrator,Seabrook Solutions,"Schertz, Texas 78154","Job Purpose:
Maintains database by identifying and solving database requirements; supporting users.
Duties:
* Identifies database requirements by interviewing customers; analyzing department applications, programming, and operations; evaluating existing systems and designing proposed systems.
* Recommends solutions by defining database physical structure and functional capabilities, database security, data back-up, and recovery specifications.
* Installs revised or new systems by proposing specifications and flowcharts; recommending optimum access techniques; coordinating installation requirements.
* Maintains database performance by calculating optimum values for database parameters; implementing new releases; completing maintenance requirements; evaluating computer operating systems and hardware products.
* Prepares users by conducting training; providing information; resolving problems.
* Provides information by answering questions and requests.
* Supports database functions by designing and coding utilities.
* Maintains quality service by establishing and enforcing organization standards.
* Maintains professional and technical knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; benchmarking state-of-the-art practices; participating in professional societies.
* Contributes to team effort by accomplishing related results as needed.
Skills/Qualifications:
Database Performance Tuning, Database Security, Promoting Process Improvement, Problem Solving, Presenting Technical Information, Quality Focus, Database Management, Data Maintenance, Operating Systems, Attention to Detail, Information Security Policies
To speed the application process, please go to 
 and follow the instructions for submitting the application."
4011,database administrator,Database Administrator,ITG,,"NOSQL Couchbase and Cassandra Database Administrator with minimum 3-5 years of hands-on experience in a Linux environment. Some of the Key tasks will include administering, monitor/maintaining, Optimizing the Performance, optimizing storage, troubleshooting of Couchbase, Cassandra databases including version Upgrades. Your priority is to ensure the platforms remain stable, reliable, and available."
4012,database administrator,SQL DBA,LRS,"Bollingbrook, IL","LRS has prospered for over 30 years because our corporate philosophy embraces honest, ethical and hard-working people. If that describes your approach to IT consulting, we need to talk! LRS Consulting Services is seeking an Database Administrator for a contract to hire opportunity for our client in Bolingbrook, IL!
 
LRS Consulting Services has been delivering the highest quality consultants to our clients since 1979. We've built a solid reputation for dealing with our clients and our consultants with honesty, integrity, and respect. We work hard every day to maintain that reputation, and we're very interested in candidates who can help us. If you're that candidate, this opportunity is made for you!
 
You will be responsible for SQL Server Database administration, design and development. Work involves moderate difficulty in troubleshooting database issues and developing recovery procedures. Resources to do the job require reliance on technical knowledge of DBA functions and architectures and policy and procedures.
Design, develop, install, and support all Microsoft SQL databases to support Business Unit and Application Development.
Execute recurring and timely SQL server maintenance to ensure consistent and reliable database environment
Investigate and resolve problems related to SQL Server and/or client issues
Monitor and fine tune databases as required
Edit and/or revise relational data
Maintain database backup/recovery environment
Develop and document recovery procedures
Support recovery from loss of data caused by application, user or system error
Responsible for identifying and implementing improvements to SQL databases to optimize performance
Work involves partnering with credit union departments in order to design and re-engineer databases 
-  7 years of Microsoft SQL Server Database experience supporting complex database architectures at the enterprise level, and you have
- Hands on technical knowledge and experience with Microsoft SQL 2005/2008, SQL Cluster Architecture, Windows Server 2003/2008, Active Directory, and LAN/WAN Technologies required
- Experience with SSRS, SSIS, Tableau Nice to have
LRS is an equal opportunity employer. Applicants for employment will receive consideration without unlawful discrimination based on race, color, religion, creed, national origin, sex, age, disability, marital status, gender identity, domestic partner status, sexual orientation, genetic information,  citizenship status or protected veteran status.
#LI-DS1"
4013,database administrator,Senior MySQL Database Administrator,"Medical Science & Computing, LLC","Bethesda, Maryland 20814",
4014,database administrator,Database Administrator,"Bizlink Technology Inc,","Fremont, California 94538","COMPUTER  
	Database Administrator to admin/ impl enterprise & CRM databases, web sites & mobile apps. Work site/mail resume to Bizlink Technology Inc,47211 Bayside Pkway, Fremont, CA 94538."
4015,database administrator,Database Administrator,Credence Management Solutions,"Tysons Corner, Virginia","Credence Management Solutions is currently seeking to hire an ORACLE Database Administrator (DBA) to support architecture, development, operations and maintenance including design and development of databases, performance tuning database and query designs, backup and restore, data migrations, extract transform and load implementations, implement controls to ensure security and privacy."
4016,database administrator,Database Administrator,Comcentric,"Phoenix, Arizona 85003","We are seeking a Senior Database Administrator for a 6 month contract to hire role in Maricopa County. Scope of responsibilities include performance turning of servers and database. Perform database security on an enterprise level, and handling standard maintenance tasks.
Requirements:
2+ years of experience in database design, development and administration for BI
5 years of experience working as a SQL Server DBA
Bachelor's Degree in Information Systems, Computer Science or related.
Knowledge of DDL and DML
Some experience in a virtual environment - Hyper -V or VMWare
** We are unable to sponsor a visa at this time. No 3rd party candidates. No H1B, H4, or OPT EAD."
4017,database administrator,Principal Database Administrator,Sage Intacct,"San Jose, California 95110","The Principal Database Administrator manages our ever growing farm of production databases and other technologies that are essential to the operation of Sage Intacct’s cloud service. Work closely with operations engineers and application developers to ensure database integrity, availability, and performance."
