id,job-query,title,company,location,description
3006,web developer,Web Developer,SNI Technology,"Maitland, Florida","SNI Technology is currently seeking a web developer with experience in building and deploying responsive HTML web and email templates, who can work with our team of senior developers, be able to communicate with clients regarding requirements, testing and executing digital marketing solutions. Our client is a major company based out of the Orlando, FL area.
ESSENTIAL DUTIES & RESPONSIBILITIES
QUALIFICATIONS
PREFERRED REQUIREMENTS
JavaScript, NodeJS, JQuery, HTML, HTML5, CSS, CSS3, Web Programming Skills, E-Commerce, Teamwork, Verbal Communication, cross-browser compatibility, Web User Interface Design (UI), Security Principles, Object-Oriented Design, Web Services (REST/SOAP), Multimedia Content Development, API's, InDesign, PhotoShop, Litmus, Foundation Framework, Bootstrap."
3007,web developer,EW Web Application Software Developer,StratasCorp,"Norfolk, Virginia 23501",
3008,web developer,.NET Web Developer,BistroMD,"NAPLES, Florida 34109","Outstanding opportunity for dynamic and passionate individual to join a successful national eCommerce company.  All applicants must have a strong .NET and Front End Web development background and possess these basic skills: time management, working on multiple projects at the same time, ability to work independently with little supervision, to be goal oriented, work well under deadline pressure with excellent communication and organization skills.
:
2 - 4 years of hands-on experience using .NET, SQL, JavaScript, jQuery, Bootstrap, AJAX, MVC and C#. Experience with server-side scripting languages as well as familiarity with relational database design and SQL required.
:
- Experience with the development and support of database driven applications using ASP.NET, C#, Microsoft SQL, MySQL
- Experience in developing web applications and user controls using ASP.NET and MVC Framework.
- Knowledge of JavaScript including jQuery, CSS including CSS3 and HTML including HTML 5.
- Working knowledge of WCF web services for use in AJAX applications and for 3rd party integration
- Knowledgeable about web standards, W3C specifications and cross-browser/cross-platform/cross-device compatibility.
- Knowledgeable about the development of e-commerce applications
- Requires the ability to work on multiple projects at the same time.
- Individual must be highly motivated and self-directed.
- Excellent written and verbal communication skills.
- Knowledge of the following is a plus: GitLab, Shopping Carts, SEO, Firewalls, Networking and Active Directory, Desktop Support.
Please reply with your resume and salary requirements.    
 
.
Job Location: Naples, FL 34109
Required education: Bachelor Degree in Computer Science"
3009,web developer,Web Analytics Software Developer,Zions Bancorporation,"Salt Lake City, Utah 84133","Web Analytics Software

Developer (WASD-PJ) Dvlp

& implement web analytics

and Dvlp code. MS+1 yr rltd exp. Mail resumes to Zions Bancorporation, Attn Angie Aramburu, 1 S Main, Ste 600, Salt Lake City, UT 84133. Must

ref title & job code."
3010,web developer,Web Developer,Newsmax Media,"Boca Raton, Florida 33487","Enhance existing web properties and applications and develop new web solutions using Kentico CMS. Position involves working on our web sites and business applications.
 
·         Ability to implement Rich User Interfaces in ASP.Net using HTML5 and JQuery
·         Strong analytical and problem solving skills
·         Excellent communications skills
·         Self-motivated, independent, detailed oriented team player
·         Consult with team leaders, managers and stakeholders to gather and review requirements, and create functional specifications
·         Meet and follow development schedules
·         Document, Design, Develop, Test and deliver defect free software
·         Modify and enhance existing software
·         Design and code individual assignments and help others in the team to deliver assignments
·         Design and code with security best practices in mind; provide support after solution is delivered addressing production issues
·         Promote new ideas and make sound technical decisions
·         Perform other duties as assigned
·         Bachelor’s Degree in computer Science or equivalent experience in IT industry required
·         Minimum 3 years’ experience developing web applications and software solutions
·         Content Management Systems, Kentico CMS Preferred
·         .NET Framework 4.x and above
·         ASP.NET / C#
·         SQL / T-SQL
·         JavaScript / JQuery / Ajax
·         HTML5 / HTML / CSS3
·         XML / XSLT
·         Web Services / WCF / REST
·         Microsoft Visual Studio and TFS
·         Agile Development Methodologies and Mobile Development experience preferred"
3011,web developer,Smarts Admin Developer,Net2Source,"Mississauga, Ontario","We are looking for resources for an engagement in Canada for a customer.This is to configure Smarts to monitor a customer's Equipment Ascend platform for the Gov't of Ontario.
 Smarts admin developer proficient in ASL scripting and Dynamic Modelling - expert level skills (5-10 years of experience)
General implementation tasks are completed early on in effort to ensure project delivery time-frames that meets expectations and that provides a ""quick-win for our client. These general services for development and implementation include:
- Review operational objectives from client stakeholders.
- Analysis of current data input files for development of parsing and general solution.
- Analysis of current customerdiscovery results for instantiation of customer objects in Smarts.
- Review of any best practices or policies that our client requires for contractors.
- Discuss the approach for the client maintaining the solution long-term.
- Discuss any challenges with accessibility (security, access, etc.) that could impact current engagement efforts or deliverables.
- Analyze and plan for any production deployment constraints (production scheduling, change windows, etc.) that could impact deployment.
- Build and compile models and Classes in Smarts for customerContainers and Zones.
- Leverage input file sourced by NetIQ for object instantiation of Containers and Zones.
- Leverage customerOID and SNMP instrumentation for discovery and object instantiation as potential supplement to asset identification/discovery/sourcing.
-Create and instantiate new Classes in Smarts for creating instances using input data.
-Compile new models into Smarts monitoring platform (SAM, IP).
-Build/develop Driver in Smarts for establishing topology across customerZones and Containers.
-Establish Parser and parsing logic for data input.
-The developed Parser will process the input (file or discovery) and call the driver in Smarts to instantiate the model and create instances in Smarts. The logic will also establish the relationships between customerZones and the underlying Containers.
Regards
Divyansh Srivastava
(201) 479 3334
divyansh@net2source.com"
3012,web developer,Full Stack Developer (Web Application Developer),"DSS, Inc.","Juno Beach, Florida 33408",PI120044897
3013,web developer,Web Developer,"Spectra Tech, Inc.","Oak Ridge, Tennessee 37830","Spectra Tech is searching for a Developer to support a project for six months.  The Developer will support the current staff of twenty full time employees, made up of designers, developers, and product owners, work in teams of one to six and apply Agile methodologies to incrementally deliver fixes and features to our catalog of applications.  We are in need of developer assistance to support a surge of work.  The Developer will work as a part of a Scrum team to develop complex database applications for administrative and research projects. Participate in team meetings to continually improve the development process.
 
The Developer must have 5 or more years of experience developing web-based database applications with 2 years solid development experience using Microsoft .NET technology and 2 years of experience developing SQL Server databases. All applications use .NET, MVC, Entity Framework, and jQuery so proficiency in these is required.  Experience using web APIs for interface with other applications is preferred.  Code writing, peer review of code, testing/QA, and participation in team meetings are all required aspects of this position.
 
Work will likely be conducted remotely due to COVID-19 considerations but some in-person meetings at the Oak Ridge office may be required if conditions become suitable.
Spectra Tech, Inc. is committed to hiring and retaining a diverse workforce.  We are an Equal Employment Opportunity (EEO) employer.  It is the policy of the Company to provide equal employment opportunities to all qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, protected veteran or disabled status, or genetic information.  We are also an E-verify employer."
3014,web developer,Web Application Developer,Intervise Consultants Inc.,"Dover, Delaware","Long term Contract position.  This is Year one of a Five year contract
Dover, DE
 
This position is for a 
 who has 
 and Must have a 
.
 
Analyze and evaluate application project requirements of considerable complexity requiring a thorough understanding of all parameters affecting and interfacing with the system. Reviews user requirements and provides direction in the identification of problem and potential resolution. 
 
ESSENTIAL DUTIES AND RESPONSIBILITIES: 
 
QUALIFICATIONS: 
Technical Expertise:   
 
EDUCATION REQUIREMENTS: 
 
CLEARANCE REQUIREMENTS: 
 
ADDITIONAL DUTIES AND RESPONSIBILITIES:  
Ability to communicate clearly via written and spoken word to multiple stakeholders including mid-level and senior leadership.  
 
LANGUAGE SKILLS: 
Ability to read, analyze, and interpret the English language. 
 
WORK ENVIRONMENT 
Office environment. Normal workday is 8 hours scheduled between duty hours of 6:00 AM through 6:00 PM Eastern Time, Monday-Friday, excluding federal holidays. On call duty as required. 
Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status."
3015,web developer,Full Stack Web Developer,HireITPeople,"Washington, District of Columbia 20001","Bachelor's degree in Information Technology or related field or equivalent experience
  
Priya Vadapalli
202-803-5684
priya@hireitpeople.com"
